Class Times	100
Rooms	40
1	485
2	6271
3	2091
4	7634
5	7321
6	9061
7	5582
8	9668
9	3515
10	1615
11	6822
12	9744
13	3794
14	7232
15	1184
16	8966
17	885
18	3734
19	1582
20	6874
21	7132
22	2779
23	7607
24	1580
25	3611
26	1122
27	5135
28	4993
29	1640
30	895
31	6405
32	6973
33	3343
34	4274
35	5772
36	4843
37	200
38	583
39	8755
40	1742
Classes	2000
Teachers	1000
1	820
2	784
3	684
4	682
5	595
6	271
7	823
8	770
9	718
10	127
11	696
12	499
13	300
14	351
15	210
16	494
17	392
18	775
19	255
20	979
21	859
22	74
23	603
24	6
25	90
26	834
27	719
28	584
29	2
30	260
31	503
32	870
33	946
34	859
35	502
36	397
37	964
38	938
39	432
40	22
41	922
42	773
43	541
44	413
45	50
46	633
47	482
48	145
49	300
50	643
51	218
52	907
53	311
54	191
55	167
56	585
57	972
58	767
59	342
60	679
61	148
62	962
63	878
64	459
65	838
66	669
67	730
68	380
69	230
70	282
71	890
72	554
73	66
74	25
75	539
76	988
77	707
78	170
79	652
80	703
81	829
82	239
83	706
84	960
85	102
86	855
87	55
88	380
89	448
90	390
91	794
92	524
93	627
94	247
95	468
96	354
97	466
98	505
99	95
100	95
101	927
102	762
103	602
104	382
105	351
106	713
107	25
108	796
109	419
110	967
111	675
112	83
113	950
114	600
115	775
116	644
117	439
118	350
119	933
120	333
121	731
122	259
123	648
124	29
125	419
126	155
127	311
128	748
129	170
130	862
131	745
132	756
133	157
134	632
135	897
136	83
137	325
138	307
139	486
140	27
141	69
142	221
143	919
144	657
145	755
146	410
147	934
148	480
149	961
150	187
151	176
152	248
153	479
154	353
155	73
156	560
157	506
158	948
159	168
160	239
161	580
162	639
163	976
164	270
165	67
166	886
167	722
168	201
169	399
170	574
171	283
172	612
173	954
174	742
175	568
176	485
177	4
178	389
179	511
180	848
181	514
182	784
183	128
184	875
185	766
186	474
187	521
188	26
189	648
190	821
191	794
192	801
193	408
194	843
195	871
196	105
197	529
198	789
199	87
200	136
201	890
202	855
203	913
204	398
205	284
206	73
207	148
208	813
209	437
210	200
211	989
212	372
213	950
214	339
215	721
216	820
217	538
218	204
219	252
220	234
221	545
222	819
223	598
224	653
225	299
226	376
227	561
228	538
229	457
230	732
231	2
232	90
233	484
234	332
235	845
236	12
237	316
238	679
239	985
240	34
241	283
242	673
243	422
244	702
245	305
246	80
247	36
248	234
249	875
250	137
251	725
252	565
253	741
254	153
255	693
256	857
257	295
258	948
259	808
260	13
261	545
262	956
263	841
264	822
265	825
266	768
267	508
268	523
269	525
270	88
271	491
272	385
273	28
274	17
275	805
276	881
277	183
278	790
279	753
280	571
281	412
282	93
283	171
284	21
285	537
286	363
287	770
288	610
289	714
290	181
291	79
292	807
293	215
294	501
295	140
296	433
297	920
298	602
299	553
300	102
301	202
302	988
303	590
304	833
305	762
306	975
307	511
308	96
309	1000
310	207
311	305
312	701
313	277
314	315
315	232
316	383
317	854
318	373
319	616
320	349
321	281
322	628
323	204
324	619
325	265
326	258
327	879
328	865
329	719
330	479
331	798
332	814
333	94
334	10
335	120
336	980
337	435
338	484
339	853
340	908
341	836
342	193
343	318
344	100
345	774
346	986
347	195
348	15
349	618
350	322
351	288
352	494
353	432
354	455
355	745
356	884
357	646
358	146
359	263
360	786
361	785
362	101
363	281
364	256
365	969
366	251
367	386
368	777
369	590
